Time_count,Time_mean,Time_std,Time_min,Time_25%,Time_50%,Time_75%,Time_max,1->2Bytes_count,1->2Bytes_mean,1->2Bytes_std,1->2Bytes_min,1->2Bytes_25%,1->2Bytes_50%,1->2Bytes_75%,1->2Bytes_max,2->1Bytes_count,2->1Bytes_mean,2->1Bytes_std,2->1Bytes_min,2->1Bytes_25%,2->1Bytes_50%,2->1Bytes_75%,2->1Bytes_max,1->2Pkts_count,1->2Pkts_mean,1->2Pkts_std,1->2Pkts_min,1->2Pkts_25%,1->2Pkts_50%,1->2Pkts_75%,1->2Pkts_max,2->1Pkts_count,2->1Pkts_mean,2->1Pkts_std,2->1Pkts_min,2->1Pkts_25%,2->1Pkts_50%,2->1Pkts_75%,2->1Pkts_max,1->2Bytes_peak_num,2->1Bytes_peak_num,1->2Pkts_peak_num,2->1Pkts_peak_num
528.0,1604949455.6420455,88.44339463324613,1604949317.0,1604949381.0,1604949446.0,1604949531.25,1604949617.0,528.0,2783.7272727272725,10124.702280227288,0.0,117.75,415.0,1052.75,158932.0,528.0,6771.181818181818,50360.68846982451,0.0,0.0,68.0,1072.25,972882.0,528.0,8.835227272727273,27.554832853974958,0.0,1.0,2.0,6.0,408.0,528.0,9.693181818181818,43.59861546324865,0.0,0.0,1.0,5.0,746.0,180,154,154,150
1231.0,1604351399.0016246,95.33156515253214,1604351246.0,1604351319.0,1604351396.0,1604351477.0,1604351574.0,1231.0,3048.118602761982,7415.50382702931,0.0,61.0,153.0,704.0,72717.0,1231.0,120642.66937449228,342146.4488196181,0.0,0.0,64.0,383.0,1633412.0,1231.0,42.94476035743298,115.84535614169909,0.0,1.0,1.0,4.0,572.0,1231.0,81.1705930138099,227.9859647931347,0.0,0.0,1.0,2.0,1089.0,356,318,283,294
714.0,1604293280.9201682,89.69160540851658,1604293125.0,1604293206.0,1604293278.0,1604293358.75,1604293439.0,714.0,1856.7857142857142,6173.4453591154115,0.0,116.0,201.0,766.0,75534.0,714.0,33571.47198879552,214818.0604806036,0.0,0.0,0.0,304.0,2698360.0,714.0,8.939775910364146,36.39294682147652,0.0,1.0,1.0,4.0,522.0,714.0,26.62044817927171,158.92846901330302,0.0,0.0,0.0,2.0,1990.0,203,169,163,168
1822.0,1604304792.9670691,79.59687704858013,1604304648.0,1604304720.0,1604304801.0,1604304853.75,1604304948.0,1822.0,1083.3880351262349,3859.9174195583028,0.0,60.0,190.0,624.75,94638.0,1822.0,13905.343029637761,156896.4417763278,0.0,40.0,114.5,370.0,4584040.0,1822.0,6.263446761800219,40.85913940212481,0.0,1.0,2.0,4.0,1257.0,1822.0,12.082327113062568,105.81314452658297,0.0,1.0,1.0,4.0,3057.0,524,495,451,449
703.0,1604384604.802276,87.1354801653404,1604384461.0,1604384529.0,1604384605.0,1604384674.5,1604384761.0,703.0,2900.9061166429588,12523.146233312016,0.0,136.0,160.0,348.0,142783.0,703.0,66770.8278805121,351297.960758349,0.0,0.0,0.0,172.0,2750637.0,703.0,18.604551920341393,84.96530266710744,0.0,1.0,1.0,2.0,1015.0,703.0,51.27169274537695,261.59735895962814,0.0,0.0,0.0,1.0,2047.0,216,174,164,168
29771.0,1604265411.822512,83.56884126988024,1604265266.0,1604265341.0,1604265414.0,1604265486.0,1604265561.0,29771.0,506.18470995263846,884.5844624769534,0.0,198.0,295.0,444.0,23027.0,29771.0,962.1554197037385,20311.94550628693,0.0,0.0,0.0,0.0,683423.0,29771.0,1.4807362869906957,2.49058490647732,0.0,1.0,1.0,1.0,95.0,29771.0,0.7536192939437708,14.948292691843339,0.0,0.0,0.0,0.0,506.0,8886,798,2816,790
745.0,1604384918.1838927,84.25597683652266,1604384762.0,1604384852.0,1604384921.0,1604384994.0,1604385062.0,745.0,3042.8456375838928,13143.523931287344,28.0,136.0,160.0,428.0,116815.0,745.0,65045.928859060405,344461.89092995116,0.0,0.0,0.0,174.0,2378743.0,745.0,19.465771812080536,89.26050265890812,1.0,1.0,1.0,3.0,822.0,745.0,50.07248322147651,257.5496457150321,0.0,0.0,0.0,1.0,1795.0,237,166,203,165
839.0,1604195924.7008343,80.79448802514824,1604195752.0,1604195861.0,1604195961.0,1604195983.0,1604196047.0,839.0,1111.632896305125,2084.90725597776,0.0,61.0,318.0,990.0,11346.0,839.0,29757.152562574494,81493.89493852384,0.0,0.0,72.0,2728.0,406992.0,839.0,12.769964243146603,29.792852915482737,0.0,1.0,2.0,5.0,150.0,839.0,22.420738974970202,58.54613340303613,0.0,0.0,1.0,5.0,294.0,257,225,209,200
690.0,1604369887.2768116,90.97475789071132,1604369755.0,1604369808.25,1604369880.5,1604369955.0,1604370070.0,690.0,4436.494202898551,12355.428335370416,0.0,61.0,120.0,1311.0,92675.0,690.0,111647.9188405797,296264.29276206135,0.0,72.0,176.0,35363.0,1870929.0,690.0,63.15652173913043,177.4485885833034,0.0,1.0,2.0,16.0,1209.0,690.0,87.97391304347826,228.40775778803396,0.0,1.0,1.0,29.0,1440.0,194,203,185,196
323.0,1604434821.504644,89.68642306097513,1604434667.0,1604434744.0,1604434821.0,1604434898.5,1604434977.0,323.0,19712.037151702785,26372.88021269012,0.0,982.5,3293.0,31108.5,117147.0,323.0,314003.4922600619,439302.6969407736,0.0,218.0,37292.0,487766.0,2034574.0,323.0,166.4953560371517,232.7016906722439,0.0,3.5,23.0,247.5,1072.0,323.0,233.04953560371516,322.8112403828057,0.0,2.0,30.0,359.5,1499.0,106,106,106,106
